#number of hit, misses and time stayed in Cache for every file
#project: 1, cachesize: 500, blocksize: 500, prefetchsize: 600, cache replacement policy: LRU
file_id,loc,num_load,num_hits,num_misses,duration
0,0,0,0,0,4910488
147451,70,1,0,0,44798
147450,62,2,0,1,47548
147449,70,1,0,0,44798
147447,297,2,0,1,49322
147444,-1,3,0,0,91122
147435,-1,3,1,1,91122
147434,-1,3,0,0,91122
147431,62,1,0,0,45753
147430,126,1,0,0,45753
147428,71,2,0,1,46196
147425,113,2,2,0,47923
147424,-1,2,0,0,47923
147423,-1,2,1,0,47923
147422,-1,2,1,0,47901
147421,186,1,0,0,47406
147419,140,1,0,0,48412
147418,37,1,0,0,48412
49116,295,1,0,0,4737
147417,185,1,0,1,48938
147415,483,1,0,1,48938
147414,39,1,0,0,48896
147413,310,1,0,1,48896
98262,342,1,0,0,3229
147412,79,1,0,0,48900
147410,421,1,0,0,48900
147409,110,1,0,0,49589
147408,108,1,0,0,49589
147396,-1,3,0,0,74194
147394,-1,3,0,0,74172
147391,-1,3,0,0,74480
147389,-1,3,0,0,74480
147388,126,3,1,0,74480
147387,-1,2,0,0,26736
98236,360,1,0,0,3229
147386,-1,3,0,0,76410
147385,-1,4,0,0,75561
147381,156,1,0,0,47741
147380,-1,2,0,0,76275
147377,162,3,0,1,88530
147376,-1,2,0,0,76275
147375,-1,2,0,0,76266
147374,-1,2,0,0,76066
147372,-1,2,0,0,74255
147371,-1,2,0,0,73918
147370,-1,2,0,0,76066
147369,-1,2,0,0,76066
147368,-1,2,0,0,76066
147367,-1,2,0,0,76044
49064,205,1,0,0,4924
98215,777,1,0,0,0
147364,-1,2,0,0,74034
49061,207,1,0,0,4924
147362,930,7,2,4,105826
147361,292,1,0,0,47453
49058,231,1,0,0,4737
147359,-1,2,0,0,56087
147358,303,1,0,0,47603
49055,268,1,0,0,4737
147356,142,1,1,1,49928
147355,-1,1,0,1,49928
147353,319,1,0,1,49928
147352,52,2,0,1,51532
147351,241,2,1,2,51597
147350,-1,2,1,1,51002
147349,674,1,0,0,50057
147348,81,1,0,1,49130
49043,431,1,0,0,4737
147338,-1,3,5,1,112879
49031,576,1,0,0,0
49030,239,1,0,0,4737
49028,344,1,0,0,4737
147328,79,2,0,1,59304
147327,392,3,1,2,72149
147326,612,3,0,2,59338
147325,221,1,0,1,49373
49018,494,1,0,0,2443
147316,189,2,0,2,67620
147315,58,1,0,0,50596
147314,40,1,0,0,50596
147313,-1,3,0,0,52149
147310,-1,3,0,0,52419
147309,53,1,0,1,50565
147308,519,2,0,2,75901
147307,150,1,0,1,50557
147306,260,1,0,1,50557
147305,61,1,0,1,51775
147304,99,1,0,1,51775
147302,52,1,0,0,54682
147294,49,1,0,0,54411
147284,117,1,0,1,54411
98132,554,1,0,0,0
98127,1774,1,0,0,0
147276,-1,4,0,1,71322
48974,226,1,0,0,4737
98124,428,1,0,0,2950
48972,245,1,0,0,4737
147272,-1,2,0,0,66297
48964,254,1,0,0,4737
147263,-1,5,0,1,81900
48961,457,1,0,0,4737
48954,1306,1,0,0,0
147254,182,7,1,4,85309
98102,525,1,0,0,374
147252,-1,6,0,1,87881
147251,-1,7,1,3,103125
147250,-1,5,0,0,82860
98094,308,1,0,0,3229
98093,210,1,0,0,3741
147242,1076,10,0,5,101029
48934,293,1,0,0,4737
98084,325,1,0,0,3229
147233,-1,7,0,2,124526
48931,230,1,0,0,4737
98082,213,1,0,0,3741
147232,-1,6,0,2,87543
48930,260,1,0,0,4737
147230,-1,5,0,1,81897
147229,-1,5,0,1,81898
98072,231,1,0,0,3741
147219,-1,7,3,1,148843
147218,-1,5,0,0,82860
147210,-1,6,0,2,107242
147208,-1,5,0,1,81900
147198,-1,6,0,1,94974
147197,-1,5,0,1,81900
147196,539,8,0,3,98179
147195,-1,2,0,0,65690
147194,40,1,0,0,58498
147193,-1,3,0,1,77578
147192,1571,1,0,0,57269
147191,78,1,0,0,58636
147181,61,1,0,1,58659
147171,-1,1,0,1,58879
147169,234,2,2,2,75904
147168,-1,1,0,1,58879
147166,69,3,0,1,64404
147165,83,3,0,1,64404
147164,79,1,0,0,60230
147163,51,1,1,0,65414
147162,63,1,1,0,65414
48860,316,1,0,0,4737
147159,-1,2,0,0,73859
147158,-1,2,0,0,74155
147157,-1,2,0,0,79341
147156,-1,2,0,0,73859
147155,-1,3,0,0,106727
48853,486,1,0,0,2443
98004,304,1,0,0,3229
147154,-1,2,0,0,74155
48846,217,1,0,0,4737
147136,85,2,1,0,83724
147135,-1,2,0,0,79341
147134,-1,2,0,0,74155
147133,202,2,0,1,79341
147132,60,2,1,0,74155
147131,-1,2,0,0,73859
147130,-1,2,0,0,73859
97976,914,1,0,0,0
97962,387,1,0,0,3194
147112,-1,3,1,1,75166
48810,201,1,0,0,4924
147111,-1,2,1,0,72722
147110,-1,2,4,0,72722
48807,257,1,0,0,4737
97952,428,1,0,0,2950
147102,-1,2,2,0,72722
147101,-1,2,5,2,77578
147090,-1,2,1,1,72722
147087,752,3,0,1,95545
147086,1027,2,1,1,66846
147076,-1,1,0,1,64914
147075,627,3,1,1,85167
147074,-1,1,0,0,67467
147073,181,1,1,0,67467
147072,210,2,1,2,88720
97914,485,1,0,0,1523
97912,246,1,0,0,3741
147061,175,2,0,1,60554
147058,-1,2,0,0,59861
147057,216,1,0,1,60254
147056,192,1,0,1,60254
97905,230,1,0,0,3741
147055,44,1,0,1,60063
147047,77,1,0,1,60063
147046,98,1,0,1,57186
147045,267,1,1,0,60070
48737,197,1,0,0,4924
147036,464,1,0,1,58546
147035,-1,3,0,1,98548
147034,118,1,0,1,58540
97880,280,1,0,0,3229
97877,246,1,0,0,3741
147024,206,1,0,1,58540
48719,283,1,0,0,4737
97865,233,1,0,0,3741
97864,211,1,0,0,3741
48712,228,1,0,0,4737
48711,389,1,0,0,4737
147011,71,1,0,0,58982
147010,-1,4,0,2,102189
97858,293,1,0,0,3229
97857,333,1,0,0,3229
147001,138,1,0,1,58749
147000,402,2,0,2,61549
146990,84,1,0,0,54528
97839,462,1,0,0,2209
146989,72,1,0,0,54533
97837,249,1,0,0,3741
146986,60,1,0,0,54533
97833,231,1,0,0,3741
97830,235,1,0,0,3741
146978,283,2,0,0,79225
97827,217,1,0,0,3741
146976,138,1,0,0,53573
146975,97,1,0,0,54528
48666,328,1,0,0,4737
97816,278,1,0,0,3229
146965,111,1,0,1,53677
146963,71,1,1,0,73435
97812,330,1,0,0,3229
97805,358,1,0,0,3229
146955,439,5,0,4,94637
97804,209,1,0,0,3741
146945,129,2,0,1,83605
97794,6242,1,0,0,0
146944,-1,2,0,0,64547
48642,231,1,0,0,4737
146943,315,2,1,2,64547
97791,238,1,0,0,3741
146941,94,1,0,1,52036
48637,411,1,0,0,4737
48635,465,1,0,0,3630
48633,617,1,0,0,0
97783,251,1,0,0,3741
48627,197,1,0,0,4924
146924,66,1,0,0,52052
146923,66,1,0,1,52052
146912,67,1,0,1,52052
146902,98,1,2,1,133737
97749,405,1,0,0,2950
97744,207,1,0,0,3741
146894,-1,1,1,1,133737
48590,316,1,0,0,4737
97740,829,1,0,0,0
48588,204,1,0,0,4924
97739,222,1,0,0,3741
146884,196,1,0,1,53418
97724,237,1,0,0,3741
146874,84,3,1,1,80986
146866,158,2,1,0,82106
146856,371,1,0,1,51864
146855,322,1,0,1,51761
146853,193,1,0,1,52843
146852,-1,3,0,2,108252
146851,76,1,0,1,53025
146850,198,2,0,2,78829
146848,65,1,0,1,54326
97697,212,1,0,0,3741
146847,63,1,0,1,54326
146846,274,1,0,1,51761
146844,138,1,0,1,52846
97693,204,1,0,0,3741
146843,68,1,0,1,54326
146842,-1,3,0,1,89991
97688,233,1,0,0,3741
146834,325,8,2,6,135975
97676,260,1,0,0,3681
48523,197,1,0,0,4924
146823,75,1,0,0,52924
146822,127,1,0,0,51876
146821,57,1,0,0,52924
146812,173,3,0,1,64095
48503,208,1,0,0,4924
146801,229,3,0,3,55579
48499,219,1,0,0,4737
48490,288,1,0,0,4737
97641,300,1,0,0,3229
48489,365,1,0,0,4737
97640,370,1,0,0,3194
146790,114,1,0,1,52146
97635,217,1,0,0,3741
146777,-1,2,0,1,80242
146776,-1,2,0,1,80242
146775,113,2,1,1,80242
146767,142,2,0,2,80242
146757,-1,5,1,0,109540
146749,459,2,0,2,72131
146748,184,4,0,2,84509
48445,211,1,0,0,4814
146738,-1,1,0,1,50272
97586,327,1,0,0,3229
146736,142,1,1,1,50272
48434,211,1,0,0,4737
146734,-1,1,0,1,49321
146733,117,1,1,1,49320
97581,388,1,0,0,3194
146729,90,1,1,1,49316
146728,-1,1,0,1,49275
48425,201,1,0,0,4924
146726,-1,1,0,1,49275
146725,125,1,1,1,49255
48423,453,1,0,0,4737
146724,108,1,1,1,49012
146723,-1,1,0,1,49012
146722,-1,1,0,1,49012
146721,-1,1,0,1,49011
146719,-1,1,0,1,49011
146717,-1,1,0,1,49011
146716,-1,1,0,1,49005
146714,159,2,1,1,54555
146706,90,1,0,1,49021
146705,167,1,0,1,48816
146704,-1,3,0,1,95489
146703,-1,4,7,3,152247
146702,50,1,0,0,50115
146662,-1,1,0,1,48758
146652,-1,1,0,1,48706
146651,-1,1,0,1,48667
146650,-1,1,0,1,48667
146649,-1,1,0,1,48685
146648,-1,1,0,1,48666
146647,-1,1,0,1,48666
146646,-1,1,0,1,48665
146645,-1,3,0,1,85830
146644,-1,1,0,1,48665
146643,-1,1,0,1,48665
146642,-1,1,0,1,48300
146641,-1,1,0,1,48300
146632,-1,6,0,4,118101
146631,-1,1,0,1,48260
97480,944,1,0,0,0
146630,-1,7,2,3,154331
97476,794,1,0,0,0
97474,379,1,0,0,3194
146618,-1,6,1,1,125219
97467,337,1,0,0,3229
97461,214,1,0,0,3741
146608,320,1,1,1,60707
97457,373,1,0,0,3194
146606,336,1,0,0,49299
146605,120,1,0,0,49299
146592,255,1,0,1,50470
146591,176,1,0,1,49002
97440,353,1,0,0,3229
146589,-1,4,0,2,117641
97436,490,1,0,0,1523
97431,408,1,0,0,2950
146579,-1,1,0,0,53963
146577,-1,3,2,0,95853
97426,235,1,0,0,3741
146576,-1,1,0,0,53960
146575,-1,1,0,0,53960
146574,143,1,2,0,53918
146573,-1,1,0,0,53960
146572,-1,1,0,0,53923
146571,-1,1,0,0,53918
146570,-1,1,0,0,53918
97416,496,1,0,0,1494
97415,374,1,0,0,3194
48262,245,1,0,0,4737
97412,213,1,0,0,3741
97411,704,1,0,0,0
97410,314,1,0,0,3229
97409,222,1,0,0,3741
97407,456,1,0,0,2950
146553,-1,1,0,0,58306
146552,-1,1,0,0,58306
97401,9545,1,0,0,0
146551,-1,1,0,0,58272
146550,-1,1,0,0,58272
146549,-1,1,0,0,58306
146548,-1,1,0,0,58272
146547,-1,1,0,0,58234
97396,614,1,0,0,0
146546,-1,1,0,0,58223
146545,-1,1,0,0,58234
146544,-1,1,0,0,54421
146543,-1,1,0,0,54421
146542,-1,1,0,0,54421
146541,-1,1,0,0,54421
146540,-1,1,0,0,54421
146539,-1,1,0,0,54329
97388,300,1,0,0,3229
97387,872,1,0,0,0
97384,446,1,0,0,2950
97382,499,1,0,0,1494
97381,365,1,0,0,3194
48226,464,1,0,0,4737
97377,277,1,0,0,3229
146527,148,2,0,1,51321
97374,227,1,0,0,3741
97371,498,1,0,0,1494
97367,366,1,0,0,3194
48215,308,1,0,0,4737
97362,852,1,0,0,0
146511,59,1,0,1,49174
97360,256,1,0,0,3741
146510,68,1,0,1,48924
48208,258,1,0,0,4737
146509,68,1,0,1,48924
97358,317,1,0,0,3229
146508,57,1,0,1,49174
146507,45,2,0,2,57573
146506,-1,3,0,1,97099
146505,50,1,0,1,49342
146504,64,1,0,1,48924
146503,82,3,0,2,100639
146502,72,1,0,0,48924
146501,47,1,0,1,49355
146500,52,1,0,1,49253
146498,68,1,0,1,48924
146497,-1,3,0,1,97099
146496,53,1,0,1,49253
146495,60,1,0,1,49086
146494,48,1,0,1,49355
48192,409,1,0,0,4737
146493,61,1,0,1,49086
146492,42,1,0,1,50371
146491,38,1,0,0,50379
146481,61,1,0,1,48924
146480,68,1,0,1,48924
146479,68,1,0,1,48924
146478,45,2,0,2,57573
146477,58,1,0,1,95419
146476,64,1,0,1,48924
97325,207,1,0,0,3741
146475,84,3,0,2,100639
146474,72,1,0,0,48924
146473,47,1,0,1,49355
146472,52,1,0,1,49253
146470,68,1,0,1,48924
146469,55,1,0,1,95419
146468,53,1,0,1,49239
146467,63,1,0,1,48924
146466,48,1,0,1,49343
146465,61,1,0,1,48924
146464,42,1,0,1,50371
146463,38,1,0,0,50373
48156,221,1,0,0,4737
48152,207,1,0,0,4924
146452,-1,4,2,2,126375
48140,436,1,0,0,4737
48136,261,1,0,0,4737
48135,246,1,0,0,4737
48132,997,1,0,0,0
48129,1105,1,0,0,0
48128,458,1,0,0,4737
48127,569,1,0,0,0
146428,-1,3,3,0,121368
48126,331,1,0,0,4737
146425,-1,3,1,0,52047
146424,-1,4,1,2,63262
146416,-1,7,0,5,126312
146406,847,1,1,1,52866
97251,239,1,0,0,3741
97250,274,1,0,0,3314
146396,178,1,0,1,51860
97242,211,1,0,0,3741
97239,330,1,0,0,3229
146387,271,1,0,1,47646
97233,415,1,0,0,2950
97232,264,1,0,0,3418
146377,-1,3,0,2,56981
146376,-1,3,0,1,56981
146375,-1,3,0,2,56981
97223,299,1,0,0,3229
146364,128,1,0,1,47838
97211,275,1,0,0,3229
146355,836,2,0,2,48802
146352,-1,3,1,1,84695
146349,376,2,0,1,48569
146346,105,1,0,0,51839
97192,263,1,0,0,3418
97190,1370,1,0,0,0
146338,98,1,0,0,51839
146336,547,3,0,2,79542
146335,34,1,0,0,51839
97175,609,1,0,0,0
146325,94,1,0,0,52813
146324,83,1,0,0,52813
97169,223,1,0,0,3741
97167,247,1,0,0,3741
97166,260,1,0,0,3681
146314,40,1,0,0,52986
146313,40,1,0,0,52986
97159,270,1,0,0,3418
146305,39,1,0,1,53078
146304,39,1,0,1,53077
146303,183,2,0,1,88986
146302,37,1,0,1,53078
146301,36,1,0,1,53078
146300,208,1,0,1,53069
97149,866,1,0,0,0
97142,574,1,0,0,0
146290,1027,1,1,0,97642
146289,-1,1,0,0,97642
47986,255,1,0,0,4737
97132,2855,1,0,0,0
97130,218,1,0,0,3741
97127,314,1,0,0,3229
146277,-1,6,0,0,112577
97125,411,1,0,0,2950
97124,638,1,0,0,0
146267,-1,3,0,0,56362
146265,-1,3,0,0,56358
146263,-1,3,0,0,56362
146261,-1,4,1,2,98227
146259,-1,3,0,0,56362
146258,-1,3,0,0,56358
146257,-1,12,0,4,199279
146255,-1,6,0,0,105423
146254,-1,3,0,1,61179
47940,247,1,0,0,4737
146240,348,2,0,2,54239
47938,910,1,0,0,0
146239,132,1,0,1,52945
97088,672,1,0,0,0
146238,139,1,0,1,52944
97085,917,1,0,0,0
146228,89,1,0,0,48997
97077,255,1,0,0,3741
146227,97,1,0,0,48997
146226,391,1,0,0,48997
146225,102,1,0,0,48997
97074,326,1,0,0,3229
146224,529,3,0,1,70191
97073,216,1,0,0,3741
97072,222,1,0,0,3741
97069,461,1,0,0,2949
97068,267,1,0,0,3418
97067,313,1,0,0,3229
97066,239,1,0,0,3741
97063,289,1,0,0,3229
97062,239,1,0,0,3741
97061,424,1,0,0,2950
97060,336,1,0,0,3229
97056,339,1,0,0,3229
97055,557,1,0,0,0
146205,40,1,1,0,54829
97054,526,1,0,0,374
97053,617,1,0,0,0
97044,404,1,0,0,2950
97043,338,1,0,0,3229
97034,472,1,0,0,2206
97024,255,1,0,0,3741
146172,54,1,1,0,48899
97018,8042,1,0,0,0
146154,77,1,1,0,48899
146153,41,1,1,0,48899
146142,162,1,0,1,47578
146135,-1,4,0,2,87648
47830,295,1,0,0,4737
96980,217,1,0,0,3741
47826,208,1,0,0,4924
47825,234,1,0,0,4737
146125,225,2,2,2,64625
146124,259,1,1,1,77572
96973,210,1,0,0,3741
96966,207,1,0,0,3741
146116,76,1,0,1,48626
146106,380,2,0,1,55613
47801,213,1,0,0,4737
96951,242,1,0,0,3741
146092,-1,4,0,0,96
146091,-1,4,0,0,96
