#number of hit, misses and time stayed in Cache for every file
#project: 1, cachesize: 500, blocksize: 500, prefetchsize: 600, cache replacement policy: LRU
file_id,loc,num_load,num_hits,num_misses,duration
0,0,0,0,0,8206541
6142,100,58,0,1,199911
6130,141,2,1,1,10214
6124,24,1,0,0,1057
6120,131,6,0,2,18749
6114,10,1,0,0,1511
6111,88,1,0,0,4038
6108,157,59,0,1,207307
6107,135,57,0,1,211491
6106,78,55,2,1,208014
6105,253,59,1,2,221064
6104,65,54,0,1,207469
6103,252,64,4,1,226937
6102,90,55,0,1,211829
6101,173,58,0,1,216767
6096,-1,106,0,1,228950
6091,36,1,0,0,3237
6089,127,20,0,1,24463
6083,-1,3,0,0,13312
6082,75,34,0,1,65247
6081,83,35,0,1,69607
6080,142,20,0,1,27317
6074,78,53,0,1,206943
6073,-1,2,0,0,25377
6062,-1,79,0,0,61634
6055,-1,81,2,2,103115
6050,-1,3,0,0,355
6049,-1,30,1,0,111565
6048,111,37,2,2,117532
6035,-1,30,0,0,125685
6034,-1,76,0,0,61526
6028,10,1,0,0,16210
6015,-1,3,0,0,50918
6014,-1,3,0,0,50918
6013,-1,3,0,0,50918
6012,-1,3,0,0,50918
6011,-1,2,0,0,25377
6001,-1,30,11,1,161738
5999,380,42,6,2,203660
5998,691,40,6,3,194543
5997,574,35,1,3,156159
5996,106,36,0,1,128786
5995,497,40,7,6,180852
5994,115,38,1,1,179463
5989,-1,5,0,0,68086
5986,-1,86,1,0,70753
5972,-1,77,0,0,53124
5969,26,2,0,0,21715
5967,126,113,0,2,227676
5962,-1,2,0,0,1437
5955,-1,2,0,0,1710
5954,-1,2,0,0,1710
5940,-1,15,0,2,118371
5934,-1,82,1,0,80272
5920,10,1,0,0,8683
5916,-1,3,0,0,8848
5909,-1,2,0,0,7322
5908,-1,2,0,0,7322
5905,-1,92,0,2,174786
5868,-1,2,0,0,27405
5867,-1,2,0,0,27405
5866,-1,2,0,0,27405
5865,-1,2,0,0,27405
5864,-1,2,0,0,27405
5863,-1,2,0,0,27405
5862,-1,2,0,0,27405
5861,-1,2,0,0,27405
5860,-1,2,0,0,27405
5859,-1,2,0,0,27405
5858,-1,2,0,0,27405
5857,-1,2,0,0,27405
5678,-1,8,0,0,31378
5677,-1,7,0,0,30157
5676,-1,7,0,0,30157
5675,-1,8,0,0,31378
5674,-1,7,0,0,30157
5673,-1,8,0,0,31378
5672,-1,7,0,0,30157
5671,-1,7,0,0,30157
5670,-1,8,0,0,31524
5669,-1,8,0,0,31378
5668,-1,8,0,0,31524
5667,-1,7,0,0,30157
5666,-1,8,0,0,31378
5665,-1,7,0,0,30157
5664,-1,7,0,0,30157
5663,-1,7,0,0,30157
5662,-1,8,0,0,31378
5661,-1,7,0,0,30157
5660,-1,8,0,0,31378
5659,-1,7,0,0,30157
5658,-1,7,0,0,30157
5657,-1,7,0,0,30157
5656,-1,7,0,0,30157
5655,-1,7,0,0,30157
5654,-1,7,0,0,30157
5653,-1,7,0,0,30157
5652,-1,7,0,0,30157
5651,-1,8,0,0,31378
5650,-1,7,0,0,30157
5649,-1,7,0,0,30157
5648,-1,7,0,0,30157
5647,-1,7,0,0,30157
5646,-1,7,0,0,30157
5645,-1,7,0,0,30157
5644,-1,7,0,0,30157
5643,-1,7,0,0,30157
5642,-1,7,0,0,30157
5641,-1,7,0,0,30157
