#number of hit, misses and time stayed in Cache for every file
#project: 1, cachesize: 1340, blocksize: 1340, prefetchsize: 134, cache replacement policy: LRU
file_id,loc,num_load,num_hits,num_misses,duration
0,0,0,0,0,8678058
12270,-1,10,1,0,2287174
12246,-1,9,11,0,6481123
12241,-1,4,0,0,501235
12230,-1,7,13,0,6644981
12229,-1,6,5,0,6693644
12226,-1,8,0,0,1132104
12217,-1,7,0,0,1455569
12213,-1,3,0,0,231844
12211,-1,6,4,0,6812614
12208,-1,5,2,0,6821638
12207,-1,11,0,0,2487862
12204,-1,7,2,0,6807682
12195,-1,7,1,1,2247325
12192,-1,4,0,0,388225
12190,-1,5,1,0,787775
12187,-1,8,1,0,3507337
12156,-1,7,6,0,6718859
12155,-1,6,1,0,690732
12154,-1,8,0,0,6699512
12133,-1,4,0,0,648300
12132,-1,5,0,0,902340
12125,-1,4,0,0,694868
12118,-1,6,0,0,6840013
12117,-1,6,0,0,6840010
12116,-1,6,0,0,6832930
12115,-1,8,0,0,6676688
12113,-1,7,2,0,1856352
12112,-1,7,0,0,1785629
12107,-1,6,1,0,966036
12092,-1,10,4,0,5469690
12088,-1,5,0,0,690544
12084,-1,2,1,0,288277
12078,-1,3,0,0,342364
12077,-1,3,2,0,346988
12075,-1,5,0,0,709179
12064,-1,9,5,0,6726171
12063,-1,3,0,0,359863
12056,-1,7,0,0,1711515
12052,-1,6,6,0,6942536
12050,-1,6,5,0,6872489
12049,-1,9,1,0,6774624
12048,-1,8,2,0,6859135
12045,-1,3,0,1,241901
12044,-1,7,4,1,6786660
12041,-1,12,4,1,4915905
12038,-1,6,1,1,782776
12031,-1,10,0,0,4243220
12029,464,11,3,0,6617278
12028,336,11,3,1,6586768
12027,-1,7,7,0,6855140
12024,294,12,1,1,6781949
12022,-1,8,0,0,1627087
12011,-1,7,1,0,6462500
12010,-1,12,0,0,2882407
12008,-1,10,2,0,6635822
12004,-1,8,2,0,6895938
12003,-1,6,12,0,6992409
12001,-1,9,0,0,6545334
12000,-1,8,0,0,1683542
11994,-1,9,1,0,6801745
11992,-1,8,2,0,6729336
11991,-1,5,2,0,6840776
11990,-1,10,1,0,6464760
11986,-1,5,1,0,6800499
11954,-1,5,0,0,734524
11952,-1,9,0,0,1861878
11951,-1,8,10,0,6863520
11950,-1,12,0,0,6757647
11949,-1,10,1,0,6657819
11946,-1,6,1,0,6923269
11945,-1,7,1,0,6838636
11944,-1,8,2,0,6868249
