#number of hit, misses and time stayed in Cache for every file
#project: 1, cachesize: 9030, blocksize: 9030, prefetchsize: 903, cache replacement policy: LRU
file_id,loc,num_load,num_hits,num_misses,duration
0,0,0,0,0,4910488
146080,-1,4,0,0,682406
146079,-1,4,0,0,753796
146078,-1,4,0,0,527890
146077,-1,3,0,0,1040330
146076,-1,4,0,0,527929
146074,-1,3,0,0,1123820
146049,-1,3,2,0,791064
146047,-1,6,0,0,1000324
146045,-1,6,0,0,1000382
146044,-1,6,1,0,1000358
146038,-1,5,0,0,1300956
146030,-1,4,0,0,1030689
146028,-1,6,1,0,1031770
146023,-1,4,1,0,988475
146022,-1,5,0,0,926524
146015,-1,5,0,0,665423
145993,-1,3,0,0,413045
145989,-1,3,0,0,413045
145912,-1,3,0,0,1399792
145874,-1,3,0,0,518954
145871,232,3,4,0,442333
145852,-1,4,3,0,933964
145817,-1,4,1,1,811355
145791,-1,4,1,1,1342380
145788,-1,4,2,0,1281997
145785,-1,5,3,0,1276775
145767,-1,5,0,0,927167
145683,-1,4,16,0,1187144
145682,-1,3,3,0,1380541
145679,-1,5,8,1,1216535
145666,-1,5,1,0,1137003
145653,-1,6,0,0,1125538
145643,-1,4,0,1,1429531
145633,-1,3,0,0,238179
145632,-1,2,0,0,343093
145624,-1,5,2,1,889684
145606,-1,5,2,0,888347
145603,749,5,5,2,963758
145601,-1,4,0,0,1091881
145599,523,6,1,0,972932
145597,-1,5,1,0,989300
145596,-1,3,2,1,1107492
145581,-1,6,0,0,1095238
145580,-1,6,0,0,1095230
145576,-1,4,0,0,827546
145572,-1,4,0,0,717851
145549,-1,4,5,1,1284415
145543,-1,4,2,0,1416267
145542,-1,1,2,0,1521512
145541,-1,3,5,0,1456386
145540,-1,1,1,0,1521512
145538,-1,4,1,0,1351207
145535,-1,6,3,0,1061724
145512,-1,3,2,0,1383897
145494,-1,4,1,1,739063
145493,-1,3,3,0,580229
145487,-1,5,0,0,1172362
145475,-1,4,1,0,428688
145474,-1,3,0,0,364530
145444,-1,2,1,0,266958
145409,-1,4,0,0,894319
145408,-1,3,0,0,1485232
145384,-1,1,2,1,1539576
145362,-1,1,2,0,1540241
145361,-1,3,2,1,913800
145360,-1,1,2,0,1540241
145341,-1,1,1,0,1542112
145340,-1,1,2,0,1542112
145335,-1,1,2,0,1542232
145325,-1,2,1,0,1490902
145313,-1,7,2,0,877589
145301,-1,4,0,0,935319
145300,-1,4,0,0,935346
145299,-1,4,0,0,935610
145298,-1,4,0,0,935567
145297,-1,4,0,0,935357
145296,-1,4,0,0,935407
145295,-1,4,1,0,935421
145294,-1,4,0,0,935604
145293,-1,4,0,0,935610
145292,-1,4,0,0,935539
145291,-1,4,0,0,935421
145290,-1,4,0,0,935312
145289,-1,4,0,0,935604
145288,-1,4,0,0,935533
145287,-1,4,0,0,935533
145286,-1,4,0,0,935401
145285,-1,4,0,0,935561
145284,-1,4,0,0,935667
145283,-1,4,0,0,935310
145282,-1,4,0,0,935421
145281,-1,4,0,0,935561
145280,-1,4,0,0,935421
145279,-1,4,0,0,935790
145278,-1,4,0,0,935648
145277,-1,4,0,0,935630
145276,-1,4,0,0,935762
145275,-1,4,0,0,935788
145274,-1,4,0,0,935841
145273,-1,4,1,0,935628
145272,-1,4,0,0,935788
145271,-1,4,0,0,935839
145270,-1,4,0,0,935592
145269,-1,4,0,0,935841
145268,-1,4,0,0,935593
145267,-1,4,0,0,935775
145266,-1,4,0,0,935732
145265,-1,4,0,0,935838
145264,-1,4,0,0,935838
145263,-1,4,0,0,935838
145262,-1,4,0,0,955277
145261,-1,4,0,0,955279
145260,-1,4,1,0,935732
145259,-1,5,0,0,1186648
145258,-1,4,2,0,975073
145257,-1,4,0,0,935838
145256,-1,4,1,0,935511
145255,-1,4,0,0,935572
145254,-1,4,0,0,935838
145253,-1,4,1,0,935522
145232,-1,4,0,0,935521
145230,-1,4,1,0,967245
145229,-1,4,1,0,935481
145228,-1,3,6,0,967036
145226,-1,4,1,0,977859
145225,-1,4,3,0,946862
145224,-1,4,3,0,946862
145223,-1,4,0,0,935572
145222,-1,4,0,0,935839
145221,-1,4,0,0,935839
145220,-1,4,0,0,935592
145219,-1,3,0,0,978029
145218,-1,4,0,0,935704
145217,-1,2,6,0,1009362
145216,598,3,9,0,1006376
145215,-1,4,1,1,935572
145214,-1,4,2,0,967138
145213,-1,2,3,0,1009362
145212,-1,4,1,0,947242
145211,-1,4,0,0,935706
145210,-1,3,1,0,1009018
145209,-1,3,1,0,967393
145208,-1,2,9,1,1009362
145207,-1,4,3,0,935423
145206,-1,4,0,0,935540
145205,-1,4,0,0,935780
145204,-1,4,0,0,935423
145203,-1,4,0,0,935317
145202,-1,4,0,0,935675
145201,-1,4,0,0,935675
145200,-1,4,3,0,935428
145199,-1,4,0,0,935675
145185,-1,5,0,0,503431
145184,-1,5,0,0,504639
145183,-1,5,0,0,503525
145182,-1,5,0,0,504639
145181,-1,5,0,0,574170
145180,-1,5,0,0,574170
145146,-1,1,3,0,1556366
145118,-1,3,2,0,1465524
145090,-1,1,2,0,1556366
145087,-1,1,2,0,1556366
145081,-1,1,16,0,1556366
145078,-1,1,5,0,1556366
145077,-1,1,5,0,1556366
145066,-1,3,0,0,197267
145052,-1,5,2,0,511408
145035,-1,3,3,1,1126408
145033,106,6,2,0,777610
145032,-1,7,1,0,882647
145020,-1,5,0,0,1121699
145016,-1,5,0,0,1288698
145012,-1,6,0,0,1130597
145000,-1,4,1,0,894269
144997,-1,4,0,1,361557
144991,71,5,1,0,720426
144990,-1,5,0,0,720248
144975,-1,5,1,0,1011089
144969,-1,5,0,0,1015824
144968,-1,5,0,0,1109898
144966,-1,4,1,0,540646
144964,-1,4,0,1,540646
144963,156,3,1,0,586584
144960,-1,2,1,0,1575122
144959,-1,4,2,0,1221941
144958,-1,5,0,0,1366012
144957,-1,4,1,0,1217972
144956,-1,5,1,0,1249806
144923,-1,3,5,0,1563452
144921,98,3,2,0,1563452
144902,-1,2,24,0,1582930
144901,-1,2,25,0,1573733
144899,-1,1,9,0,1583603
144887,-1,4,0,0,839917
144863,-1,4,1,0,845324
144853,-1,3,0,0,214579
144840,216,4,0,1,513338
144821,-1,2,0,0,163707
144820,-1,2,0,0,163707
144788,-1,3,0,0,218860
144787,-1,3,0,0,218860
144786,-1,3,0,0,1579724
144785,-1,1,0,0,1602409
144783,-1,1,1,0,1603953
144780,-1,4,2,0,965935
144702,-1,3,5,0,1020980
144700,-1,4,5,0,1029736
144699,-1,5,2,0,785442
144658,-1,7,3,0,1364011
144657,-1,7,1,0,1358362
144653,-1,4,0,1,306253
144652,-1,4,0,0,307406
144641,-1,4,0,0,390589
144640,-1,4,0,0,388580
144639,-1,5,0,0,479223
144638,-1,4,0,0,403170
144637,352,7,2,0,1160978
144636,-1,1,1,0,1619939
144607,-1,4,1,0,1068400
144587,-1,6,0,0,710531
144585,-1,4,6,0,1462382
144581,-1,5,1,0,1037609
144572,-1,1,5,0,1623014
144571,-1,1,0,0,1623014
144550,-1,1,1,0,1623666
144549,-1,4,1,0,926544
144548,-1,4,2,0,925144
144546,-1,1,1,0,1623666
144543,-1,4,1,1,925144
144539,-1,5,1,0,1095156
144529,-1,1,0,0,1631303
144527,-1,4,1,0,549405
144523,-1,4,0,1,404620
144522,-1,4,1,1,407554
144499,-1,1,3,0,1640539
144498,-1,2,2,0,1013352
144481,-1,4,3,1,969827
144470,851,4,7,0,1076439
144455,-1,5,1,0,1028461
